TransactionDate,MerchantName,TransactionAmount,ReferenceNumber
2020-07-03,AWS EMEA,847.79,9120751537
2020-07-06,HYDRA INTERNATIONAL,2195,9122619847
2020-07-06,WWW.NISBETS.COM,2494.8,9122619851
2020-07-07,F-JAS LTD,1155.32,9124465215
2020-07-08,EGRESS SWITCH,960,9127387695
2020-07-08,CHARTERED INSTITUTE OF,624,9127387699
2020-07-10,STEVENAGE PACKAGING LT,2220,9133604335
2020-07-15,WWW.LOCAL.GOV.UK,972,9141905211
2020-07-21,INNER SPACE STATIONS L,725.99,7243182358
2020-07-22,WWW.ASPLI.COM,776.5,7245467666
2020-07-23,GITHUB,974.75,7248612340
2020-07-24,CAPITA BUSINESS SERVS,1480.39,7253105008
2020-07-24,CAPITA BUSINESS SERVS,1537.13,7253105012
2020-07-27,WWW.THEODI.ORG,2640,7255892590
2020-07-28,SP   NILCOUK,802.99,7257749332
2020-07-28,SPORTSBIKESHOP LTD,2745,7257749334
2020-07-29,LEACH S,3596,7260916682
