TransactionDate,MerchantName,CostCode,ExpenseType,TransactionAmount
2018-05-22,HOUSE OF COMMONS,10085250,Other services,500
2018-05-31,ARTICULATE GLOBAL INC,10085545,Other services,1007.07
2018-05-08,SHL GROUP LTD,10085520,Recruitment & advertising charges,720
2018-05-24,SHL GROUP LTD,10085520,Recruitment & advertising charges,720
2018-05-27,MSFT  <E0500603KH>,10085541,IT Software Licences,4089.6
2018-05-24,VIA S. PIO,10085410,Actual Bed and breakfast costs,786.36
2018-05-01,H M PRISON SERVICE,10085520,Staff training: Region & HQ Admin,850
2018-05-31,WWW.THEKNOWLEDGEACADEM,10085520,Staff training: Region & HQ Admin,582.99
2018-05-24,WWW.PMGLTD.CO.UK,10085332,Staff training: Region & HQ Admin,912
2018-05-08,WWW.NEOPOST.CO.UK,10085820,Postal Charges,1000
2018-05-30,WWW.WESTMINSTER-BRIEFI,10085820,Staff training: Region & HQ Admin,2100
2018-05-25,GRADUATE COMMONS HOTEL,10085340,Actual Bed and breakfast costs,574.42
2018-05-25,GRADUATE COMMONS HOTEL,10085340,Actual Bed and breakfast costs,549.76
2018-05-16,ASSOCIATION FOR PROJEC,10085452,Staff training: Region & HQ Admin,575
2018-05-09,AHVLA,10085370,Sample Analysis(non Trichinella),1348.8
2018-05-16,EISTEDDFOD GENEDLA,10085721,Project Programme Expenditure,2428
2018-05-25,DRI QLIKTECH  INC,10085510,IT Software Licences,668.4
2018-05-14,BMJ PUBLISHING GROUP,10085820,Recruitment & advertising charges,1298.88
2018-05-15,ENERGIA,10085820,Utilities,659.2
2018-05-22,INDEPENDENT NEWS & MED,10085820,Recruitment & advertising charges,1200
